1333;PLATEAU RECT 35 CM S/A EYMEN D;;36.49;48.00;U
1334;PLATEAU RECT 40 CM S/A EYMEN D;;54.80;71.00;U
1335;PLATEAU RECT 45 CM S/A EYMEN D;;68.58;96.00;U
1336;PLATEAU AZYR 35 CM S/A;;52.17;0.00;U
1337;SERVICE 24 PIECES CLOUDIA;;170.00;200.00;U
1338;VERRE A THE PRESTIGE P8539;;1.75;2.68;U
1339;VERRE A EAU ALLEGRA GAI365F;;2.35;3.57;U
1340;VERRE ISLANDE 30 CL ADA382Z;;1.75;3.57;U
1341;CARAFE D'EAU EN VERRE FON856-P;;5.50;8.33;U
1342;VERRE A EAU SALTO 32CL;;2.08;3.57;U
1343;VERRE A EAU ALMENIA 29CL;;4.67;3.57;U
1344;VAP 25 AMELIA K3;;4.67;3.57;U
1345;GOBLET ISLAND 29 CL;;2.17;3.57;U
1346;VERRE A PIED IMPERIAL 30CL;;2.25;3.57;U
1347;VERRE TULIPE FST593;;3.33;4.77;U
1348;VERRE A EAU CAPRI REN20;;2.91;3.57;U
1349;PLAT OVALE INOX 18/10;;34.51;41.65;U
1350;CARAFE EN VERRE 1L VRA889;;8.36;11.00;U
1351;COFFRET 6 PCS CLAUDIA 250 ML BOUHEMIA;;32.77;75.56;U
1352;COFFRET 6 PCS CLAUDIA 180 ML BOUHEMIA;;36.13;75.56;U
1353;PLATEAU  EN PLEXI PM 37*22*5;;32.13;41.77;U
1354;PLATEAU EN PLEX MM 41*26*5;;38.08;49.50;U
1355;PLATEAU EN PLEX GM 45*30*5;;41.65;54.15;U
1356;COFFRET 6 PCS CLAUDIA 230 ML BOUHEMIA;;42.50;50.00;U
2024/1357;RONDELLE PLATE INOX M4;;0.26;0.26;U
2024/1358;VIS T CHC 4/6 BONBE INOX;;0.11;0.00;U
1359;CASSEROLE 20 cm;;58.00;0.00;U
1360;POELE  24;;86.00;86.00;U
1361;PLATEAU AZYR 40 CM INOX DORE;;62.38;83.18;U
1362;ASSIETTE PLATE PARMA 31*31 BROMIOLI;;6.50;7.50;U
1363;EMBOUT 16*16 CARRE NOIR;;0.12;0.12;U
1364;FEUILLE PM EN MELAMINE NOIR;;2.69;0.00;U
1365;BOL 11 CM EN MELAMINE NOIR;;3.59;0.00;U
1366;COUPELLE COUPEE SQUAR;;4.04;0.00;U
1367;STAND NOIR 2 ETAGES;;32.00;77.00;U
1368;POIGNEE KILIC 160 CP;;2.81;2.81;U
1369;POIGNEE KILIC 224 CP;;3.89;0.00;U
1370;VERRE A THE;;1.33;1.92;U
1371;bonboniere;;18.00;22.00;U
1372;KARAF 1 L / 151;;27.50;30.50;U
1373;CUILLERE TABLE 060;;4.05;4.64;U
1374;FOURCHETTE TABLE 060;;4.05;4.64;U
1375;COUTEAU TABLE 060;;5.24;7.34;U
1376;CUILLERE DESSERT 060;;3.68;4.29;U
1377;FOURCHETTE DESSERT 060;;3.68;4.29;U
1378;COUTEAU DESSERT 060;;5.00;5.83;U
1379;CUILLERE A MOKA 060;;1.44;1.59;U
1380;CUILLERE A CAFE 060;;1.78;2.05;U
1381;VERRE 30 CL;;0.00;1.90;U
1382;VERRE 25 CL;;0.00;1.50;U
1383;FOURCHETTE TABLE 1301;;2.14;2.54;U
1384;COUTEAUX TABLE 1301;;4.49;4.76;U
1385;FOURCHETTE DESSERT 1301;;2.04;2.40;U
1386;COUTEAUX DESSERT 1301;;4.38;4.64;U
1387;PLANCHE A DECOUPER;;85.68;119.95;U
